N,t
696,0.010039
697,0.01014
698,0.010067
699,0.010154
700,0.010437
701,0.010388
702,0.011164
703,0.010785
704,0.011015
705,0.010886
706,0.011307
707,0.011331
708,0.010725
709,0.010821
710,0.010854
711,0.010901
712,0.010424
713,0.010476
714,0.010638
715,0.010858
716,0.010751
717,0.01067
718,0.010705
719,0.010713
720,0.010871
721,0.010917
722,0.010804
723,0.010893
724,0.010869
725,0.010851
726,0.011078
727,0.011103
728,0.01097
729,0.011052
730,0.011131
731,0.011044
732,0.011112
733,0.011286
734,0.011224
735,0.011175
736,0.011347
737,0.011242
738,0.011321
739,0.011353
740,0.011426
741,0.011411
742,0.011445
743,0.011572
744,0.011406
745,0.01155
746,0.011464
747,0.011648
748,0.011638
749,0.011664
750,0.011677
751,0.011747
752,0.011761
753,0.011755
754,0.011688
755,0.011799
756,0.01182
757,0.011786
758,0.011798
759,0.012022
760,0.012036
761,0.011957
762,0.011976
763,0.012088
764,0.012163
765,0.012126
766,0.012339
767,0.012265
768,0.012252
769,0.01231
770,0.012307
771,0.012265
772,0.012302
773,0.012276
774,0.012512
775,0.012472
776,0.012683
777,0.012484
778,0.012565
779,0.012646
780,0.012741
781,0.012566
782,0.012623
783,0.012756
784,0.012936
785,0.012836
786,0.012773
787,0.012774
788,0.012985
789,0.012929
790,0.012942
791,0.012953
792,0.01298
793,0.013016
794,0.013022
795,0.013008
796,0.013126
797,0.013201
798,0.013222
799,0.013617
800,0.013438
801,0.01374
802,0.013877
803,0.014046
804,0.014137
805,0.014789
806,0.014611
807,0.014555
808,0.014429
809,0.014209
810,0.014633
811,0.016066
812,0.016443
813,0.015998
814,0.015151
815,0.016247
816,0.016276
817,0.016407
818,0.015272
819,0.014261
820,0.014171
821,0.014069
822,0.014162
823,0.014342
824,0.014206
825,0.014314
826,0.014233
827,0.014394
828,0.014344
829,0.014601
830,0.014878
831,0.014939
832,0.015022
833,0.014875
834,0.014877
835,0.014875
836,0.014966
837,0.015026
838,0.015042
839,0.015062
840,0.015025
841,0.015159
842,0.015221
843,0.015244
844,0.015299
845,0.015217
846,0.015426
847,0.015313
848,0.015546
849,0.0156
850,0.015737
851,0.015517
852,0.015718
853,0.01569
854,0.015738
855,0.015961
856,0.015858
857,0.015785
858,0.015754
859,0.015829
860,0.015796
861,0.01607
862,0.015744
863,0.015796
864,0.016074
865,0.016001
866,0.016409
867,0.016094
868,0.015958
869,0.016022
870,0.016185
871,0.016435
872,0.016214
873,0.016085
874,0.016491
875,0.016726
876,0.016373
877,0.01644
878,0.016622
879,0.016528
880,0.016573
881,0.016714
882,0.016733
883,0.016689
884,0.016628
885,0.016655
886,0.017011
887,0.016989
888,0.016702
889,0.017063
890,0.016851
891,0.016873
892,0.017175
893,0.016946
894,0.016818
895,0.017247
896,0.017038
897,0.017015
898,0.01769
899,0.017161
900,0.0174
901,0.017596
902,0.017355
903,0.017861
904,0.017498
905,0.017637
