N,CRR,BS
149,8.115298247,8.102643534
150,8.089946796,8.102643534
151,8.1151305,8.102643534
152,8.090113719,8.102643534
153,8.114967142,8.102643534
154,8.090276309,8.102643534
155,8.114808003,8.102643534
156,8.090434734,8.102643534
157,8.114652922,8.102643534
158,8.090589152,8.102643534
159,8.114501745,8.102643534
160,8.090739712,8.102643534
161,8.114354327,8.102643534
162,8.090886557,8.102643534
163,8.114210529,8.102643534
164,8.091029824,8.102643534
165,8.11407022,8.102643534
166,8.091169641,8.102643534
167,8.113933274,8.102643534
168,8.091306132,8.102643534
169,8.113799571,8.102643534
170,8.091439413,8.102643534
171,8.113668999,8.102643534
172,8.091569598,8.102643534
173,8.113541447,8.102643534
174,8.091696792,8.102643534
175,8.113416813,8.102643534
176,8.091821097,8.102643534
177,8.113294997,8.102643534
178,8.09194261,8.102643534
179,8.113175906,8.102643534
180,8.092061426,8.102643534
181,8.113059448,8.102643534
182,8.092177632,8.102643534
183,8.112945537,8.102643534
184,8.092291313,8.102643534
185,8.11283409,8.102643534
186,8.092402552,8.102643534
187,8.11272503,8.102643534
188,8.092511425,8.102643534
189,8.112618278,8.102643534
190,8.092618007,8.102643534
191,8.112513764,8.102643534
192,8.092722371,8.102643534
193,8.112411417,8.102643534
194,8.092824584,8.102643534
195,8.112311171,8.102643534
196,8.092924713,8.102643534
197,8.112212962,8.102643534
198,8.09302282,8.102643534
199,8.112116728,8.102643534
200,8.093118966,8.102643534
201,8.11202241,8.102643534
202,8.09321321,8.102643534
203,8.111929952,8.102643534
204,8.093305607,8.102643534
205,8.111839299,8.102643534
206,8.09339621,8.102643534
207,8.111750399,8.102643534
208,8.093485073,8.102643534
209,8.111663201,8.102643534
210,8.093572244,8.102643534
211,8.111577657,8.102643534
212,8.093657771,8.102643534
213,8.11149372,8.102643534
214,8.0937417,8.102643534
215,8.111411346,8.102643534
216,8.093824076,8.102643534
217,8.111330492,8.102643534
218,8.093904942,8.102643534
219,8.111251114,8.102643534
220,8.093984338,8.102643534
221,8.111173175,8.102643534
222,8.094062304,8.102643534
223,8.111096634,8.102643534
224,8.094138879,8.102643534
225,8.111021455,8.102643534
226,8.094214099,8.102643534
227,8.110947601,8.102643534
228,8.094288001,8.102643534
229,8.110875037,8.102643534
230,8.094360618,8.102643534
231,8.110803731,8.102643534
232,8.094431983,8.102643534
233,8.11073365,8.102643534
234,8.09450213,8.102643534
235,8.110664762,8.102643534
236,8.094571088,8.102643534
237,8.110597037,8.102643534
238,8.094638887,8.102643534
239,8.110530447,8.102643534
240,8.094705557,8.102643534
241,8.110464962,8.102643534
242,8.094771126,8.102643534
243,8.110400556,8.102643534
244,8.094835621,8.102643534
245,8.110337202,8.102643534
246,8.094899067,8.102643534
247,8.110274874,8.102643534
248,8.094961491,8.102643534
249,8.110213548,8.102643534
250,8.095022916,8.102643534
251,8.1101532,8.102643534
252,8.095083367,8.102643534
253,8.110093806,8.102643534
254,8.095142866,8.102643534
255,8.110035345,8.102643534
256,8.095201436,8.102643534
257,8.109977794,8.102643534
258,8.095259099,8.102643534
259,8.109921132,8.102643534
260,8.095315874,8.102643534
261,8.109865338,8.102643534
262,8.095371784,8.102643534
263,8.109810394,8.102643534
264,8.095426847,8.102643534
265,8.10975628,8.102643534
266,8.095481082,8.102643534
267,8.109702976,8.102643534
268,8.095534508,8.102643534
269,8.109650466,8.102643534
270,8.095587142,8.102643534
271,8.109598731,8.102643534
272,8.095639004,8.102643534
273,8.109547754,8.102643534
274,8.095690108,8.102643534
275,8.109497519,8.102643534
276,8.095740472,8.102643534
277,8.10944801,8.102643534
278,8.095790112,8.102643534
279,8.109399211,8.102643534
280,8.095839043,8.102643534
281,8.109351107,8.102643534
282,8.09588728,8.102643534
